Jornada,Fecha,Hora,Local,Visita,GA,GC
1. Jornada,2025-08-22,18:30,Bayern Munich,RB Leipzig,6,0
1. Jornada,2025-08-23,13:30,Eintracht Francfort,Werder Bremen,4,1
1. Jornada,2025-08-23,13:30,Bayer Leverkusen,1899 Hoffenheim,1,2
1. Jornada,2025-08-23,13:30,SC Friburgo,FC Augsburgo,1,3
1. Jornada,2025-08-23,13:30,Union Berlín,VfB Stuttgart,2,1
1. Jornada,2025-08-23,13:30,1. FC Heidenheim 1846,VfL Wolfsburgo,1,3
1. Jornada,2025-08-23,16:30,FC St. Pauli,Borussia Dortmund,3,3
1. Jornada,2025-08-24,13:30,1. FSV Mainz 05,1. FC Colonia,0,1
1. Jornada,2025-08-24,15:30,Bor. Mönchengladbach,Hamburgo SV,0,0
2. Jornada,2025-08-29,18:30,Hamburgo SV,FC St. Pauli,0,2
2. Jornada,2025-08-30,13:30,RB Leipzig,1. FC Heidenheim 1846,2,0
2. Jornada,2025-08-30,13:30,Werder Bremen,Bayer Leverkusen,3,3
2. Jornada,2025-08-30,13:30,VfB Stuttgart,Bor. Mönchengladbach,1,0
2. Jornada,2025-08-30,13:30,1899 Hoffenheim,Eintracht Francfort,1,3
2. Jornada,2025-08-30,16:30,FC Augsburgo,Bayern Munich,2,3
2. Jornada,2025-08-31,13:30,VfL Wolfsburgo,1. FSV Mainz 05,1,1
2. Jornada,2025-08-31,15:30,Borussia Dortmund,Union Berlín,3,0
2. Jornada,2025-08-31,17:30,1. FC Colonia,SC Friburgo,4,1
3. Jornada,2025-09-12,18:30,Bayer Leverkusen,Eintracht Francfort,3,1
3. Jornada,2025-09-13,13:30,SC Friburgo,VfB Stuttgart,3,1
3. Jornada,2025-09-13,13:30,1. FSV Mainz 05,RB Leipzig,0,1
3. Jornada,2025-09-13,13:30,VfL Wolfsburgo,1. FC Colonia,3,3
3. Jornada,2025-09-13,13:30,Union Berlín,1899 Hoffenheim,2,4
3. Jornada,2025-09-13,13:30,1. FC Heidenheim 1846,Borussia Dortmund,0,2
3. Jornada,2025-09-13,16:30,Bayern Munich,Hamburgo SV,5,0
3. Jornada,2025-09-14,13:30,FC St. Pauli,FC Augsburgo,2,1
3. Jornada,2025-09-14,15:30,Bor. Mönchengladbach,Werder Bremen,0,4
4. Jornada,2025-09-19,18:30,VfB Stuttgart,FC St. Pauli,2,0
4. Jornada,2025-09-20,13:30,Werder Bremen,SC Friburgo,0,3
4. Jornada,2025-09-20,13:30,FC Augsburgo,1. FSV Mainz 05,1,4
4. Jornada,2025-09-20,13:30,1899 Hoffenheim,Bayern Munich,1,4
4. Jornada,2025-09-20,13:30,Hamburgo SV,1. FC Heidenheim 1846,2,1
4. Jornada,2025-09-20,16:30,RB Leipzig,1. FC Colonia,3,1
4. Jornada,2025-09-21,13:30,Eintracht Francfort,Union Berlín,3,4
4. Jornada,2025-09-21,15:30,Bayer Leverkusen,Bor. Mönchengladbach,1,1
4. Jornada,2025-09-21,17:30,Borussia Dortmund,VfL Wolfsburgo,1,0
5. Jornada,2025-09-26,18:30,Bayern Munich,Werder Bremen,4,0
5. Jornada,2025-09-27,13:30,1. FSV Mainz 05,Borussia Dortmund,0,2
5. Jornada,2025-09-27,13:30,VfL Wolfsburgo,RB Leipzig,0,1
5. Jornada,2025-09-27,13:30,FC St. Pauli,Bayer Leverkusen,1,2
5. Jornada,2025-09-27,13:30,1. FC Heidenheim 1846,FC Augsburgo,2,1
5. Jornada,2025-09-27,16:30,Bor. Mönchengladbach,Eintracht Francfort,4,6
5. Jornada,2025-09-28,13:30,SC Friburgo,1899 Hoffenheim,1,1
5. Jornada,2025-09-28,15:30,1. FC Colonia,VfB Stuttgart,1,2
5. Jornada,2025-09-28,17:30,Union Berlín,Hamburgo SV,0,0
