Jornada,Fecha,Hora,Local,Visita,GA,GC
1. Jornada,2025-08-15,19:30,Burgos CF,Cultural Leonesa,5,1
1. Jornada,2025-08-15,19:30,Real Valladolid,AD Ceuta FC,3,0
1. Jornada,2025-08-16,15:00,Racing Santander,CD Castellón,3,1
1. Jornada,2025-08-16,17:30,Málaga CF,SD Eibar,1,1
1. Jornada,2025-08-16,19:30,Granada CF,Deportivo La Coruña,1,3
1. Jornada,2025-08-17,15:00,Real Sociedad B,Real Zaragoza,1,0
1. Jornada,2025-08-17,17:30,Cádiz CF,CD Mirandés,1,0
1. Jornada,2025-08-17,19:30,SD Huesca,CD Leganés,1,1
1. Jornada,2025-08-17,19:30,UD Las Palmas,FC Andorra,1,1
1. Jornada,2025-08-18,17:00,Sporting Gijón,Córdoba CF,2,1
1. Jornada,2025-08-18,19:30,UD Almería,Albacete,4,4
2. Jornada,2025-08-22,17:30,SD Eibar,Granada CF,3,0
2. Jornada,2025-08-22,19:30,CD Castellón,Real Valladolid,0,1
2. Jornada,2025-08-22,19:30,CD Leganés,Cádiz CF,1,1
2. Jornada,2025-08-23,15:00,CD Mirandés,SD Huesca,0,1
2. Jornada,2025-08-23,17:00,AD Ceuta FC,Sporting Gijón,0,1
2. Jornada,2025-08-23,19:30,Real Zaragoza,FC Andorra,1,3
2. Jornada,2025-08-24,15:00,Deportivo La Coruña,Burgos CF,0,0
2. Jornada,2025-08-24,17:30,Cultural Leonesa,UD Almería,0,1
2. Jornada,2025-08-24,19:30,Málaga CF,Real Sociedad B,1,0
2. Jornada,2025-08-25,17:30,Albacete,Racing Santander,2,3
2. Jornada,2025-08-25,19:30,Córdoba CF,UD Las Palmas,1,3
3. Jornada,2025-08-29,17:30,Real Sociedad B,UD Almería,2,2
3. Jornada,2025-08-29,19:30,Sporting Gijón,Cultural Leonesa,1,0
3. Jornada,2025-08-30,15:00,Racing Santander,AD Ceuta FC,4,1
3. Jornada,2025-08-30,17:00,Real Valladolid,Córdoba CF,0,0
3. Jornada,2025-08-30,19:30,CD Castellón,Real Zaragoza,1,1
3. Jornada,2025-08-31,15:00,FC Andorra,Burgos CF,2,1
3. Jornada,2025-08-31,15:00,Cádiz CF,Albacete,2,1
3. Jornada,2025-08-31,17:30,UD Las Palmas,Málaga CF,0,1
3. Jornada,2025-08-31,19:30,Granada CF,CD Mirandés,1,2
3. Jornada,2025-09-01,17:30,SD Huesca,SD Eibar,2,1
3. Jornada,2025-09-01,19:30,CD Leganés,Deportivo La Coruña,2,2
4. Jornada,2025-09-05,17:30,Albacete,CD Mirandés,1,4
4. Jornada,2025-09-05,19:30,Córdoba CF,CD Castellón,2,1
4. Jornada,2025-09-06,14:15,Deportivo La Coruña,Sporting Gijón,1,0
4. Jornada,2025-09-06,16:30,Real Zaragoza,Real Valladolid,1,1
4. Jornada,2025-09-06,19:00,Málaga CF,Granada CF,2,2
4. Jornada,2025-09-07,12:00,AD Ceuta FC,SD Huesca,2,1
4. Jornada,2025-09-07,14:15,Burgos CF,UD Las Palmas,0,0
4. Jornada,2025-09-07,14:15,Real Sociedad B,Cádiz CF,3,3
4. Jornada,2025-09-07,16:30,UD Almería,Racing Santander,2,3
4. Jornada,2025-09-07,16:30,Cultural Leonesa,CD Leganés,0,0
4. Jornada,2025-09-08,18:30,SD Eibar,FC Andorra,2,0
5. Jornada,2025-09-12,18:30,UD Las Palmas,Real Sociedad B,2,1
5. Jornada,2025-09-13,14:15,Cádiz CF,SD Eibar,1,0
5. Jornada,2025-09-13,14:15,CD Mirandés,Deportivo La Coruña,1,5
5. Jornada,2025-09-13,16:30,SD Huesca,Málaga CF,1,0
5. Jornada,2025-09-13,19:00,Real Valladolid,UD Almería,3,1
5. Jornada,2025-09-14,12:00,FC Andorra,Córdoba CF,3,1
5. Jornada,2025-09-14,14:15,Racing Santander,Cultural Leonesa,2,4
5. Jornada,2025-09-14,16:30,CD Castellón,AD Ceuta FC,3,3
5. Jornada,2025-09-14,16:30,Sporting Gijón,Burgos CF,2,3
5. Jornada,2025-09-14,19:00,Granada CF,CD Leganés,0,2
5. Jornada,2025-09-15,18:30,Real Zaragoza,Albacete,0,0
6. Jornada,2025-09-19,18:30,Deportivo La Coruña,SD Huesca,4,0
6. Jornada,2025-09-20,14:15,Cultural Leonesa,CD Castellón,1,3
6. Jornada,2025-09-20,16:30,CD Leganés,UD Las Palmas,0,1
6. Jornada,2025-09-20,16:30,FC Andorra,CD Mirandés,1,1
6. Jornada,2025-09-20,19:00,UD Almería,Sporting Gijón,2,1
6. Jornada,2025-09-21,12:00,AD Ceuta FC,Real Zaragoza,1,0
6. Jornada,2025-09-21,14:15,Albacete,Real Valladolid,2,0
6. Jornada,2025-09-21,16:30,SD Eibar,Real Sociedad B,2,1
6. Jornada,2025-09-21,16:30,Málaga CF,Cádiz CF,0,1
6. Jornada,2025-09-21,19:00,Córdoba CF,Racing Santander,2,2
6. Jornada,2025-09-22,18:30,Burgos CF,Granada CF,1,1
7. Jornada,2025-09-26,18:30,CD Mirandés,Real Zaragoza,0,1
7. Jornada,2025-09-27,16:30,SD Eibar,Deportivo La Coruña,1,1
7. Jornada,2025-09-27,16:30,Racing Santander,FC Andorra,1,2
7. Jornada,2025-09-27,19:00,UD Las Palmas,UD Almería,0,1
7. Jornada,2025-09-28,12:00,Real Sociedad B,Córdoba CF,1,1
7. Jornada,2025-09-28,14:15,Burgos CF,Málaga CF,2,1
7. Jornada,2025-09-28,14:15,Cádiz CF,AD Ceuta FC,0,0
7. Jornada,2025-09-28,16:30,Sporting Gijón,Albacete,3,4
7. Jornada,2025-09-28,16:30,Real Valladolid,Cultural Leonesa,0,1
7. Jornada,2025-09-28,19:00,SD Huesca,Granada CF,0,1
7. Jornada,2025-09-29,18:30,CD Leganés,CD Castellón,0,1
8. Jornada,2025-10-03,18:30,AD Ceuta FC,SD Eibar,1,0
8. Jornada,2025-10-04,14:15,Deportivo La Coruña,UD Almería,1,1
8. Jornada,2025-10-04,16:30,FC Andorra,CD Leganés,1,2
8. Jornada,2025-10-04,16:30,SD Huesca,Burgos CF,2,1
8. Jornada,2025-10-04,19:00,Granada CF,Real Sociedad B,5,2
8. Jornada,2025-10-05,12:00,Real Zaragoza,Córdoba CF,0,1
8. Jornada,2025-10-05,14:15,CD Castellón,Sporting Gijón,3,1
8. Jornada,2025-10-05,16:30,Racing Santander,Málaga CF,3,0
8. Jornada,2025-10-05,16:30,Real Valladolid,CD Mirandés,1,1
8. Jornada,2025-10-05,19:00,UD Las Palmas,Cádiz CF,1,0
8. Jornada,2025-10-06,18:30,Cultural Leonesa,Albacete,0,0
9. Jornada,2025-10-10,18:30,Granada CF,UD Las Palmas,0,0
9. Jornada,2025-10-11,14:15,CD Mirandés,CD Leganés,0,0
9. Jornada,2025-10-11,16:30,UD Almería,Real Zaragoza,4,2
9. Jornada,2025-10-11,16:30,Real Sociedad B,FC Andorra,3,0
9. Jornada,2025-10-12,12:00,Albacete,AD Ceuta FC,0,0
9. Jornada,2025-10-12,14:15,SD Eibar,CD Castellón,0,0
9. Jornada,2025-10-12,14:15,Sporting Gijón,Racing Santander,2,1
9. Jornada,2025-10-12,16:30,Burgos CF,Real Valladolid,0,1
9. Jornada,2025-10-12,16:30,Cádiz CF,SD Huesca,1,0
9. Jornada,2025-10-12,19:00,Málaga CF,Deportivo La Coruña,3,0
9. Jornada,2025-10-13,18:30,Córdoba CF,Cultural Leonesa,1,0
10. Jornada,2025-10-17,18:30,FC Andorra,Granada CF,0,0
10. Jornada,2025-10-18,14:15,AD Ceuta FC,CD Mirandés,2,0
10. Jornada,2025-10-18,16:30,Real Zaragoza,Cultural Leonesa,0,5
10. Jornada,2025-10-19,12:00,CD Leganés,Málaga CF,2,0
10. Jornada,2025-10-19,14:15,CD Castellón,Albacete,0,1
10. Jornada,2025-10-19,14:15,Real Valladolid,Sporting Gijón,2,3
10. Jornada,2025-10-19,16:30,Racing Santander,Deportivo La Coruña,2,1
10. Jornada,2025-10-19,16:30,Córdoba CF,UD Almería,1,1
10. Jornada,2025-10-19,19:00,UD Las Palmas,SD Eibar,3,1
10. Jornada,2025-10-20,18:30,Cádiz CF,Burgos CF,1,3
10. Jornada,2025-11-05,19:00,Real Sociedad B,SD Huesca,2,0
11. Jornada,2025-10-24,18:30,SD Huesca,UD Las Palmas,1,1
11. Jornada,2025-10-25,12:00,Cultural Leonesa,AD Ceuta FC,0,1
11. Jornada,2025-10-25,14:15,Albacete,Córdoba CF,1,3
11. Jornada,2025-10-25,14:15,SD Eibar,CD Leganés,0,0
11. Jornada,2025-10-25,16:30,Burgos CF,Real Sociedad B,1,0
11. Jornada,2025-10-25,16:30,Granada CF,Cádiz CF,0,0
11. Jornada,2025-10-25,19:00,CD Mirandés,Racing Santander,1,3
11. Jornada,2025-10-26,13:00,Málaga CF,FC Andorra,4,1
11. Jornada,2025-10-26,17:30,Sporting Gijón,Real Zaragoza,1,0
11. Jornada,2025-10-26,17:30,UD Almería,CD Castellón,1,0
11. Jornada,2025-10-26,20:00,Deportivo La Coruña,Real Valladolid,1,1
12. Jornada,2025-10-31,19:30,Racing Santander,Real Sociedad B,1,0
12. Jornada,2025-11-01,15:15,Cultural Leonesa,CD Mirandés,3,2
12. Jornada,2025-11-01,17:30,Albacete,SD Huesca,2,1
12. Jornada,2025-11-01,17:30,CD Leganés,Burgos CF,1,2
12. Jornada,2025-11-01,20:00,UD Almería,SD Eibar,3,1
12. Jornada,2025-11-02,13:00,FC Andorra,Cádiz CF,0,0
12. Jornada,2025-11-02,15:15,Córdoba CF,AD Ceuta FC,2,0
12. Jornada,2025-11-02,15:15,Sporting Gijón,UD Las Palmas,0,0
12. Jornada,2025-11-02,17:30,CD Castellón,Málaga CF,2,1
12. Jornada,2025-11-02,20:00,Real Zaragoza,Deportivo La Coruña,0,2
12. Jornada,2025-11-03,19:30,Real Valladolid,Granada CF,2,1
13. Jornada,2025-11-07,19:30,CD Mirandés,Sporting Gijón,2,1
