Jornada,Fecha,Hora,Local,Visita,GA,GC
1. Jornada,2025-08-15,18:45,Stade Rennais,Olympique Marseille,1,0
1. Jornada,2025-08-16,15:00,RC Lens,Olympique Lyonnais,0,1
1. Jornada,2025-08-16,17:00,AS Monaco,Havre AC,3,1
1. Jornada,2025-08-16,19:05,OGC Nice,Toulouse FC,0,1
1. Jornada,2025-08-17,13:00,Stade Brestois 29,Lille OSC,3,3
1. Jornada,2025-08-17,15:15,AJ Auxerre,FC Lorient,1,0
1. Jornada,2025-08-17,15:15,FC Metz,RC Strasbourg,0,1
1. Jornada,2025-08-17,15:15,Angers SCO,Paris FC,1,0
1. Jornada,2025-08-17,18:45,FC Nantes,Paris Saint-Germain,0,1
2. Jornada,2025-08-22,18:45,Paris Saint-Germain,Angers SCO,1,0
2. Jornada,2025-08-23,15:00,Olympique Marseille,Paris FC,5,2
2. Jornada,2025-08-23,17:00,OGC Nice,AJ Auxerre,3,1
2. Jornada,2025-08-23,19:05,Olympique Lyonnais,FC Metz,3,0
2. Jornada,2025-08-24,13:00,FC Lorient,Stade Rennais,4,0
2. Jornada,2025-08-24,15:15,Havre AC,RC Lens,1,2
2. Jornada,2025-08-24,15:15,Toulouse FC,Stade Brestois 29,2,0
2. Jornada,2025-08-24,15:15,RC Strasbourg,FC Nantes,1,0
2. Jornada,2025-08-24,18:45,Lille OSC,AS Monaco,1,0
3. Jornada,2025-08-29,18:45,RC Lens,Stade Brestois 29,3,1
3. Jornada,2025-08-30,15:00,FC Lorient,Lille OSC,1,7
3. Jornada,2025-08-30,17:00,FC Nantes,AJ Auxerre,1,0
3. Jornada,2025-08-30,19:05,Toulouse FC,Paris Saint-Germain,3,6
3. Jornada,2025-08-31,13:00,Angers SCO,Stade Rennais,1,1
3. Jornada,2025-08-31,15:15,Havre AC,OGC Nice,3,1
3. Jornada,2025-08-31,15:15,AS Monaco,RC Strasbourg,3,2
3. Jornada,2025-08-31,15:15,Paris FC,FC Metz,3,2
3. Jornada,2025-08-31,18:45,Olympique Lyonnais,Olympique Marseille,1,0
4. Jornada,2025-09-12,18:45,Olympique Marseille,FC Lorient,4,0
4. Jornada,2025-09-13,15:00,OGC Nice,FC Nantes,1,0
4. Jornada,2025-09-13,19:05,AJ Auxerre,AS Monaco,1,2
4. Jornada,2025-09-14,13:00,Lille OSC,Toulouse FC,2,1
4. Jornada,2025-09-14,15:15,FC Metz,Angers SCO,1,1
4. Jornada,2025-09-14,15:15,Paris Saint-Germain,RC Lens,2,0
4. Jornada,2025-09-14,15:15,RC Strasbourg,Havre AC,1,0
4. Jornada,2025-09-14,15:15,Stade Brestois 29,Paris FC,1,2
4. Jornada,2025-09-14,18:45,Stade Rennais,Olympique Lyonnais,3,1
5. Jornada,2025-09-19,18:45,Olympique Lyonnais,Angers SCO,1,0
5. Jornada,2025-09-20,15:00,FC Nantes,Stade Rennais,2,2
5. Jornada,2025-09-20,17:00,Stade Brestois 29,OGC Nice,4,1
