Jornada,Fecha,Hora,Local,Visita,GA,GC
1. Jornada,2025-08-23,16:30,Genoa CFC,US Lecce,0,0
1. Jornada,2025-08-23,16:30,Sassuolo Calcio,SSC Napoli,0,2
1. Jornada,2025-08-23,18:45,AC Milan,US Cremonese,1,2
1. Jornada,2025-08-23,18:45,AS Roma,Bologna FC,1,0
1. Jornada,2025-08-24,16:30,Cagliari Calcio,ACF Fiorentina,1,1
1. Jornada,2025-08-24,16:30,Como 1907,Lazio Roma,2,0
1. Jornada,2025-08-24,18:45,Atalanta,Pisa SC,1,1
1. Jornada,2025-08-24,18:45,Juventus,Parma Calcio 1913,2,0
1. Jornada,2025-08-25,16:30,Udinese Calcio,Hellas Verona,1,1
1. Jornada,2025-08-25,18:45,Inter,Torino FC,5,0
2. Jornada,2025-08-29,16:30,US Cremonese,Sassuolo Calcio,3,2
2. Jornada,2025-08-29,18:45,US Lecce,AC Milan,0,2
2. Jornada,2025-08-30,16:30,Bologna FC,Como 1907,1,0
2. Jornada,2025-08-30,16:30,Parma Calcio 1913,Atalanta,1,1
2. Jornada,2025-08-30,18:45,Pisa SC,AS Roma,0,1
2. Jornada,2025-08-30,18:45,SSC Napoli,Cagliari Calcio,1,0
2. Jornada,2025-08-31,16:30,Genoa CFC,Juventus,0,1
2. Jornada,2025-08-31,16:30,Torino FC,ACF Fiorentina,0,0
2. Jornada,2025-08-31,18:45,Inter,Udinese Calcio,1,2
2. Jornada,2025-08-31,18:45,Lazio Roma,Hellas Verona,4,0
3. Jornada,2025-09-13,13:00,Cagliari Calcio,Parma Calcio 1913,2,0
3. Jornada,2025-09-13,16:00,Juventus,Inter,4,3
3. Jornada,2025-09-13,18:45,ACF Fiorentina,SSC Napoli,1,3
3. Jornada,2025-09-14,10:30,AS Roma,Torino FC,0,1
3. Jornada,2025-09-14,13:00,Atalanta,US Lecce,4,1
3. Jornada,2025-09-14,13:00,Pisa SC,Udinese Calcio,0,1
3. Jornada,2025-09-14,16:00,Sassuolo Calcio,Lazio Roma,1,0
3. Jornada,2025-09-14,18:45,AC Milan,Bologna FC,1,0
3. Jornada,2025-09-15,16:30,Hellas Verona,US Cremonese,0,0
3. Jornada,2025-09-15,18:45,Como 1907,Genoa CFC,1,1
4. Jornada,2025-09-19,18:45,US Lecce,Cagliari Calcio,1,2
